time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-02 09:30:00-05:00,FirstStrategy,988bd9fc1c604c12af5eb4656bf0ff4a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-02 09:30:00-05:00,FirstStrategy,988bd9fc1c604c12af5eb4656bf0ff4a,SPY,buy,market,fill,1,gtc,0.0,1,stock,472.1600036621094,106.0,0.0
2024-09-18 10:30:00-04:00,FirstStrategy,25738b62834c4939be7a01ae707d2712,SPY,sell_to_close,stop,canceled,1,day,0.0,1,stock,,,
2024-09-18 10:30:00-04:00,FirstStrategy,463250e96b334f0183f8d061379ce537,SPY,sell_to_close,limit,fill,1,day,0.0,1,stock,566.5920043945313,106.0,0.0
