datetime,portfolio_value,cash,positions,return
2024-06-24 09:30:00-04:00,100217.7001953125,94774.40002441406,"[{'asset': SPY, 'quantity': 10.0}]",-6.9854761232113205e-06
2024-06-25 09:30:00-04:00,100214.29992675781,94774.40002441406,"[{'asset': SPY, 'quantity': 10.0}]",-3.3928822434137196e-05
2024-06-26 09:30:00-04:00,100211.30004882812,94774.40002441406,"[{'asset': SPY, 'quantity': 10.0}]",-2.9934629407923907e-05
2024-06-27 09:30:00-04:00,100228.09997558594,94774.40002441406,"[{'asset': SPY, 'quantity': 10.0}]",0.00016764503354038673
2024-06-28 09:30:00-04:00,100245.99975585938,94774.40002441406,"[{'asset': SPY, 'quantity': 10.0}]",0.0001785904379889569
2024-06-29 09:30:00-04:00,100245.99975585938,94774.40002441406,"[{'asset': SPY, 'quantity': 10.0}]",0.0
2024-06-30 09:30:00-04:00,100245.99975585938,94774.40002441406,"[{'asset': SPY, 'quantity': 10.0}]",0.0
2024-07-01 09:30:00-04:00,100230.70007324219,94774.40002441406,"[{'asset': SPY, 'quantity': 10.0}]",-0.000152621377954687
2024-07-02 09:30:00-04:00,100211.40014648438,94774.40002441406,"[{'asset': SPY, 'quantity': 10.0}]",-0.00019255504295301318
2024-07-03 09:30:00-04:00,100261.30004882812,94774.40002441406,"[{'asset': SPY, 'quantity': 10.0}]",0.0004979463640943926
2024-07-04 09:30:00-04:00,100261.30004882812,94774.40002441406,"[{'asset': SPY, 'quantity': 10.0}]",0.0
2024-07-05 09:30:00-04:00,100292.10021972656,94774.40002441406,"[{'asset': SPY, 'quantity': 10.0}]",0.00030719899785291993
2024-07-06 09:30:00-04:00,100292.10021972656,94774.40002441406,"[{'asset': SPY, 'quantity': 10.0}]",0.0
2024-07-07 09:30:00-04:00,100292.10021972656,94774.40002441406,"[{'asset': SPY, 'quantity': 10.0}]",0.0
2024-07-08 09:30:00-04:00,100328.80004882812,94774.40002441406,"[{'asset': SPY, 'quantity': 10.0}]",0.0003659294104036981
2024-07-09 09:30:00-04:00,100337.00012207031,94774.40002441406,"[{'asset': SPY, 'quantity': 10.0}]",8.173199757388616e-05
2024-07-10 09:30:00-04:00,100345.10009765625,94774.40002441406,"[{'asset': SPY, 'quantity': 10.0}]",8.072770340028512e-05
2024-07-11 09:30:00-04:00,100388.80004882812,94774.40002441406,"[{'asset': SPY, 'quantity': 10.0}]",0.0004354966124837656
2024-07-12 09:30:00-04:00,100350.70007324219,94774.40002441406,"[{'asset': SPY, 'quantity': 10.0}]",-0.0003795241657177373
2024-07-13 09:30:00-04:00,100350.70007324219,94774.40002441406,"[{'asset': SPY, 'quantity': 10.0}]",0.0
2024-07-14 09:30:00-04:00,100350.70007324219,94774.40002441406,"[{'asset': SPY, 'quantity': 10.0}]",0.0
2024-07-15 09:30:00-04:00,100394.70031738281,94774.40002441406,"[{'asset': SPY, 'quantity': 10.0}]",0.0004384647452235768
2024-07-16 09:30:00-04:00,100403.09997558594,94774.40002441406,"[{'asset': SPY, 'quantity': 10.0}]",8.366635067957873e-05
2024-07-17 09:30:00-04:00,100362.39990234375,94774.40002441406,"[{'asset': SPY, 'quantity': 10.0}]",-0.0004053666993557581
2024-07-18 09:30:00-04:00,100359.50012207031,94774.40002441406,"[{'asset': SPY, 'quantity': 10.0}]",-2.8893094189297308e-05
2024-07-19 09:30:00-04:00,100298.59985351562,94774.40002441406,"[{'asset': SPY, 'quantity': 10.0}]",-0.0006068211627261455
