time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-07-26 10:30:00-04:00,BBTrader,beda0fdec44b4b1881cca912af478f2c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-07-26 10:30:00-04:00,BBTrader,beda0fdec44b4b1881cca912af478f2c,SPY,buy,market,fill,1,gtc,0.0,1,stock,542.280029296875,92.0,0.0
2024-10-15 10:30:00-04:00,BBTrader,5851a34a63544af7ae547a5330a11a16,SPY,sell,market,new,1,day,0.0,1,stock,,,
2024-10-15 10:30:00-04:00,BBTrader,5851a34a63544af7ae547a5330a11a16,SPY,sell,market,fill,1,day,0.0,1,stock,584.5900268554688,92.0,0.0
2024-11-01 10:30:00-04:00,BBTrader,2343ab68ef914b3391bce852ed3db203,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-11-01 10:30:00-04:00,BBTrader,2343ab68ef914b3391bce852ed3db203,SPY,buy,market,fill,1,gtc,0.0,1,stock,571.3200073242188,91.0,0.0
