time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-02 09:30:00-05:00,FirstStrategy,4ad2d3407acd441eb52e26454e236b7b,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-02 09:30:00-05:00,FirstStrategy,4ad2d3407acd441eb52e26454e236b7b,SPY,buy,market,fill,1,gtc,0.0,1,stock,472.1600036621094,106.0,0.0
2024-09-18 10:30:00-04:00,FirstStrategy,fd8f77daf6fd4a3f80175873b4ef7fa9,SPY,sell_to_close,stop,canceled,1,day,0.0,1,stock,,,
2024-09-18 10:30:00-04:00,FirstStrategy,76cf6e325f22482485de60ad915b603c,SPY,sell_to_close,limit,fill,1,day,0.0,1,stock,566.5920043945313,106.0,0.0
