datetime,portfolio_value,cash,positions,return
2024-12-02 08:30:00-05:00,100000.0,100000.0,[],
2024-12-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-12-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-12-03 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-12-04 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-12-05 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-12-06 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-12-07 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-12-08 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-12-09 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-12-10 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-12-11 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-12-12 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-12-13 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-12-14 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-12-15 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-12-16 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-12-17 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-12-18 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-12-19 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-12-20 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-12-21 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-12-22 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-12-23 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-12-24 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-12-25 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-12-26 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-12-27 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-12-28 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-12-29 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-12-30 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-12-31 15:59:00-05:00,100000.0,100000.0,[],0.0
2024-12-31 16:00:00-05:00,100000.0,100000.0,[],0.0
