time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-02 09:30:00-05:00,FirstStrategy,1d48662f690f4124a4cf44adde8aa1c7,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-02 09:30:00-05:00,FirstStrategy,1d48662f690f4124a4cf44adde8aa1c7,SPY,buy,market,fill,1,gtc,0.0,1,stock,472.1600036621094,106.0,0.0
2024-09-18 10:30:00-04:00,FirstStrategy,f86dfee6de0d40dca296665fe5d7bfb4,SPY,sell_to_close,stop,canceled,1,day,0.0,1,stock,,,
2024-09-18 10:30:00-04:00,FirstStrategy,ebf7a2fcda1b434c89b7e077ee3f7093,SPY,sell_to_close,limit,fill,1,day,0.0,1,stock,566.5920043945313,106.0,0.0
