time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-02 09:30:00-05:00,FirstStrategy,e93424800e8c4a16a73b320d68b31903,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-02 09:30:00-05:00,FirstStrategy,e93424800e8c4a16a73b320d68b31903,SPY,buy,market,fill,1,gtc,0.0,1,stock,472.1600036621094,106.0,0.0
2024-09-18 10:30:00-04:00,FirstStrategy,c4955e16bd524401b5a8169470690dee,SPY,sell_to_close,stop,canceled,1,day,0.0,1,stock,,,
2024-09-18 10:30:00-04:00,FirstStrategy,f5cd686f19a4440dba9bafab5519779f,SPY,sell_to_close,limit,fill,1,day,0.0,1,stock,566.5920043945313,106.0,0.0
