time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-02 09:30:00-05:00,FirstStrategy,9cc51cd4afe44806a170ea52ba533097,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-02 09:30:00-05:00,FirstStrategy,9cc51cd4afe44806a170ea52ba533097,SPY,buy,market,fill,1,gtc,0.0,1,stock,472.1600036621094,106.0,0.0
2024-09-18 10:30:00-04:00,FirstStrategy,aa9ac03c607c4d9e8347e5938845d98c,SPY,sell_to_close,stop,canceled,1,day,0.0,1,stock,,,
2024-09-18 10:30:00-04:00,FirstStrategy,8ebc18fdcb9b451194b745c66d38ac03,SPY,sell_to_close,limit,fill,1,day,0.0,1,stock,566.5920043945313,106.0,0.0
